"No.","Time","Source","Destination","Protocol","Length","Info"
"150","0.017497","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=182504 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"151","0.017497","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=183886 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"152","0.017497","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=185268 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"153","0.017497","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=186650 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"154","0.017497","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=188032 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"155","0.017497","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=189414 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"156","0.017497","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=190796 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"157","0.017497","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=192178 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"158","0.017497","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=193560 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"159","0.017497","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=194942 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"160","0.017497","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=196324 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"161","0.017497","176.235.75.83","172.16.7.65","TLSv1.2","1436","Application Data"
"162","0.017497","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=199088 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"164","0.018966","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=200470 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"165","0.018966","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=201852 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"166","0.018966","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=203234 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"167","0.018966","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [PSH, ACK] Seq=204616 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"168","0.018966","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=205998 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"169","0.018966","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=207380 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"170","0.018966","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=208762 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"171","0.018966","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=210144 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"172","0.018966","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=211526 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"174","0.019388","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=212908 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"175","0.019388","176.235.75.83","172.16.7.65","TLSv1.2","1436","Application Data"
"176","0.019388","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=215672 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"177","0.019388","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=217054 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"178","0.019388","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=218436 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"179","0.019388","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [PSH, ACK] Seq=219818 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"180","0.019388","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=221200 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"181","0.019388","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=222582 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"182","0.019388","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=223964 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"183","0.019388","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=225346 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"184","0.019388","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=226728 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"185","0.019388","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=228110 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
